update_time,lr,loss/loss,loss/actor_loss,loss/critic_loss,loss/entropy_loss,value/logprob,value/old_action_logprob,value/value,value/return,value/advantage,value/reward,grad/grad_clipped
3023,0.001,-0.022172147,-0.00061427616,0.004829476,3.133871,-3.3154798,-3.315517,0.5644794,0.5583111,-1.6763806e-08,0.07303479,0.058390275
3044,0.001,-0.02348567,-0.00092474744,0.0028700393,3.150797,-3.1714406,-3.1712966,0.5456071,0.54911476,1.1175871e-08,0.07072431,0.041180816
3065,0.001,-0.022932287,-0.00123687,0.003602489,3.0176713,-2.9122224,-2.9122334,0.57700104,0.5674106,1.21071935e-08,0.07311588,0.077273935
3086,0.001,-0.02257618,-0.00039793923,0.003529842,3.131448,-3.2125595,-3.2128713,0.59116167,0.5819096,-2.7939677e-08,0.076199725,0.052823763
3107,0.001,-0.02343506,-0.0009458959,0.0043540583,3.176875,-3.1718283,-3.1719491,0.5936976,0.592944,0.0,0.07727865,0.052462798
3128,0.001,-0.02280584,0.00023594568,0.0015884632,3.1340604,-3.0635495,-3.064099,0.5659203,0.56377614,2.3283064e-09,0.072929494,0.054167848
3149,0.001,-0.02233389,0.000418555,0.0025884642,3.1458964,-3.120158,-3.1203847,0.5854855,0.5803255,-1.1175871e-08,0.075711854,0.043208633
3170,0.001,-0.02158437,9.2503615e-05,0.0030266847,3.0279381,-3.180212,-3.179812,0.58178276,0.5781803,2.3283064e-08,0.07480115,0.051623814
3191,0.001,-0.022823868,-0.0011349954,0.003961149,3.061695,-3.1917834,-3.1910267,0.5688866,0.5828776,-9.313226e-09,0.07504866,0.0614784
3212,0.001,-0.022604806,-3.949087e-05,0.002674871,3.1461198,-3.2531862,-3.2529855,0.57569396,0.5746304,-6.519258e-09,0.07406463,0.037427958
3233,0.001,-0.023525257,-0.00094463676,0.0028136056,3.0793915,-3.1709032,-3.170875,0.57711256,0.5815854,3.3527613e-08,0.07448317,0.051372405
3254,0.001,-0.02201195,-0.0003365921,0.0035866627,3.0708141,-2.9672475,-2.9671385,0.5605638,0.56196404,-8.381903e-09,0.07296167,0.029454945
